,0
1926-07,0.03137521076272211
1926-08,0.028957253627852696
1926-09,0.0055660279732192095
1926-10,-0.028504266957215665
1926-11,0.028038908722571917
1926-12,0.02878398078233582
1927-01,0.0018127771281645727
1927-02,0.04557551984623793
1927-03,0.005813683756788294
1927-04,0.008285431943270536
1927-05,0.05889151021112857
1927-06,-0.020714508326158135
1927-07,0.07529065322061557
1927-08,0.022734727870962416
1927-09,0.04994062806470247
1927-10,-0.03956630935096641
1927-11,0.06868993365215431
1927-12,0.02407559280577783
1928-01,-0.004506466596372398
1928-02,-0.013223983014167233
1928-03,0.09098974375659383
1928-04,0.04297389601502483
1928-05,0.01573340611791906
1928-06,-0.04334912331953926
1928-07,0.009433949046297558
1928-08,0.06944788794102719
1928-09,0.03222042293688721
1928-10,0.016584104281117604
1928-11,0.12162038306384007
1928-12,0.00456486958605845
1929-01,0.051573093169993735
1929-02,0.0005706124952732761
1929-03,-0.0029526468741166777
1929-04,0.017620907232548923
1929-05,-0.054624898969921
1929-06,0.1035098868445751
1929-07,0.04773978282097034
1929-08,0.0858603142392367
1929-09,-0.04946609723405054
1929-10,-0.19289617927449104
1929-11,-0.12113882038328319
1929-12,0.018406563990677326
1930-01,0.052558971273060105
1930-02,0.028136783186773612
1930-03,0.07591624557383594
1930-04,-0.02160257846748507
1930-05,-0.011819370829138122
1930-06,-0.15456775985196622
1930-07,0.043139532047717144
1930-08,0.0038598669637142573
1930-09,-0.12412166836965526
1930-10,-0.08863497324185715
1930-11,-0.02731082215542546
1930-12,-0.0743940774855363
1931-01,0.06291566167977465
1931-02,0.10898130367287098
1931-03,-0.06207159644604254
1931-04,-0.09788846135764381
1931-05,-0.13174828878260572
1931-06,0.14073827791810115
1931-07,-0.06558840092955102
1931-08,0.0019408792220782524
1931-09,-0.28932234662280765
1931-10,0.07948214749440835
1931-11,-0.08989901245520618
1931-12,-0.1335085537969723
1932-01,-0.013695155033257248
1932-02,0.05659092135596709
1932-03,-0.1095365242114803
1932-04,-0.17765292102143831
1932-05,-0.20453832442363493
1932-06,-0.007496824993362129
1932-07,0.3374168347555607
1932-08,0.3701812879116051
1932-09,-0.028823079972288373
1932-10,-0.13125195939467116
1932-11,-0.05834953378598648
1932-12,0.04436915936642213
1933-01,0.012876326330540798
1933-02,-0.15355813680781033
1933-03,0.03255907359178462
1933-04,0.3882830643225288
1933-05,0.2120124852551994
1933-06,0.13156735450240128
1933-07,-0.09623048583561407
1933-08,0.12078780467247817
1933-09,-0.10609426896886462
1933-10,-0.08229221489457104
1933-11,0.09985762054902696
1933-12,0.017916715713800963
1934-01,0.12617663049899533
1934-02,-0.02440974487297008
1934-03,0.00039482628525465207
1934-04,-0.018348044698248387
1934-05,-0.07197667565272113
1934-06,0.026415629535085583
1934-07,-0.10896624660192543
1934-08,0.05514055258657283
1934-09,-0.0011812568996875847
1934-10,-0.016335655543883255
1934-11,0.08434144195324499
1934-12,0.003516907572304157
1935-01,-0.03430922221135716
1935-02,-0.01960218718052581
1935-03,-0.035933975085519536
1935-04,0.0898368083876813
1935-05,0.03502744015060901
1935-06,0.06031803569007561
1935-07,0.07495592667633436
1935-08,0.0265725470462412
1935-09,0.026078307380536393
1935-10,0.07002723105653504
1935-11,0.04914080794165061
1935-12,0.044657793781263014
1936-01,0.06903553451219478
1936-02,0.025460690342096793
1936-03,0.010316323005626009
1936-04,-0.08049339336104011
1936-05,0.052358605689137375
1936-06,0.025214233263979313
1936-07,0.0668057208907617
1936-08,0.010077656857599144
1936-09,0.010492953270687647
1936-10,0.07269601495440435
1936-11,0.03256530500774275
1936-12,0.0018436443068083927
1937-01,0.033507641189932824
1937-02,0.01149270415468121
1937-03,-0.0031056561251335294
1937-04,-0.0731828032823251
1937-05,-0.007059090638448624
1937-06,-0.04145140113538852
1937-07,0.08941233703854684
1937-08,-0.04926163799017727
1937-09,-0.13559303926293403
1937-10,-0.09585564718670408
1937-11,-0.08233844977091474
1937-12,-0.042712606992942104
1938-01,0.004622637842819458
1938-02,0.058519845006195316
1938-03,-0.23816630135751357
1938-04,0.14402804209844275
1938-05,-0.03863218256477352
1938-06,0.24059052439730572
1938-07,0.07329950061717412
1938-08,-0.026680223811961216
1938-09,0.008312432546508179
1938-10,0.07786061098025653
1938-11,-0.017148712415676177
1938-12,0.041152878262212325
1939-01,-0.05938979775775957
1939-02,0.034824797500735256
1939-03,-0.11889040265148691
1939-04,-0.002932243827553412
1939-05,0.06793895526914692
1939-06,-0.053105584386074066
1939-07,0.10184271867496536
1939-08,-0.06683519567350663
1939-09,0.16870294344800627
1939-10,-0.0052369606249957346
1939-11,-0.03615617426013297
1939-12,0.030282942475070365
1940-01,-0.02392715070182208
1940-02,0.014375304725922966
1940-03,0.020394396977245995
1940-04,0.0017904979401871912
1940-05,-0.2193915670489266
1940-06,0.06721099078385921
1940-07,0.03174817279250809
1940-08,0.02189707399165321
1940-09,0.02399647977178938
1940-10,0.03026615292575166
1940-11,-0.016066965832995807
1940-12,0.0070185396551800195
1941-01,-0.04158025298658587
1941-02,-0.014406609139173585
1941-03,0.008474056723189252
1941-04,-0.05456851764260712
1941-05,0.014076408381158756
1941-06,0.05833152918261105
1941-07,0.05894289902360232
1941-08,-0.001579234618514168
1941-09,-0.00854758425534418
1941-10,-0.05251251893833288
1941-11,-0.019327415456550246
1941-12,-0.049023722748730125
1942-01,0.00841075875054841
1942-02,-0.02451763990762318
1942-03,-0.0656522812727021
1942-04,-0.04342166427785097
1942-05,0.059620475790404956
1942-06,0.027160519091435957
1942-07,0.03534744967859096
